best_epoch,best_loss,final_epoch,patience,module,module__num_units,module__activation,optimizer,lr
499,0.0629635883219961,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.1
498,0.0406027787082757,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.1
470,0.0584194888178796,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.1
500,0.0592981985127715,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.1
204,0.0389104726116332,304,100,SimpleNeuralNet,25,Sigmoid,Adam,0.1
495,0.0601664540016742,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.1
495,0.061112331050901,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.1
497,0.038961410525586,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.1
426,0.0549798097773418,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.1
496,0.057566132325784,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.1
222,0.0394495465571353,322,100,SimpleNeuralNet,30,Sigmoid,Adam,0.1
489,0.0581868630909148,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.1
478,0.0596205408658666,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.1
500,0.0366869032102506,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.1
279,0.0742424622711921,379,100,SimpleNeuralNet,10,ReLU,Adam,0.01
232,0.088875294590213,332,100,SimpleNeuralNet,10,ReLU,Adam,0.01
441,0.0457324094051095,500,100,SimpleNeuralNet,10,ReLU,Adam,0.01
499,0.0734311212310575,500,100,SimpleNeuralNet,10,ReLU,SGD,0.01
487,0.0847060461574073,500,100,SimpleNeuralNet,10,ReLU,SGD,0.01
498,0.0538521095898798,500,100,SimpleNeuralNet,10,ReLU,SGD,0.01
463,0.0648053675662712,500,100,SimpleNeuralNet,15,ReLU,Adam,0.01
88,0.0737493821270531,188,100,SimpleNeuralNet,15,ReLU,Adam,0.01
207,0.0446753137328081,307,100,SimpleNeuralNet,15,ReLU,Adam,0.01
496,0.071751387885003,500,100,SimpleNeuralNet,15,ReLU,SGD,0.01
500,0.0698965588520036,500,100,SimpleNeuralNet,15,ReLU,SGD,0.01
499,0.0444370986917411,500,100,SimpleNeuralNet,15,ReLU,SGD,0.01
384,0.0576827659917387,484,100,SimpleNeuralNet,20,ReLU,Adam,0.01
454,0.0641791997089978,500,100,SimpleNeuralNet,20,ReLU,Adam,0.01
496,0.0345498523562922,500,100,SimpleNeuralNet,20,ReLU,Adam,0.01
499,0.0648170376222586,500,100,SimpleNeuralNet,20,ReLU,SGD,0.01
499,0.0648878255132629,500,100,SimpleNeuralNet,20,ReLU,SGD,0.01
500,0.0430015338745443,500,100,SimpleNeuralNet,20,ReLU,SGD,0.01
359,0.0591838338341567,459,100,SimpleNeuralNet,25,ReLU,Adam,0.01
443,0.0584928485363157,500,100,SimpleNeuralNet,25,ReLU,Adam,0.01
496,0.0362654066646411,500,100,SimpleNeuralNet,25,ReLU,Adam,0.01
499,0.060434441120503,500,100,SimpleNeuralNet,25,ReLU,SGD,0.01
499,0.0622156426278486,500,100,SimpleNeuralNet,25,ReLU,SGD,0.01
500,0.037684876582579,500,100,SimpleNeuralNet,25,ReLU,SGD,0.01
478,0.0553801987400237,500,100,SimpleNeuralNet,30,ReLU,Adam,0.01
485,0.0572144074038962,500,100,SimpleNeuralNet,30,ReLU,Adam,0.01
380,0.0296588440424692,480,100,SimpleNeuralNet,30,ReLU,Adam,0.01
500,0.0607325362784863,500,100,SimpleNeuralNet,30,ReLU,SGD,0.01
500,0.0587222042859921,500,100,SimpleNeuralNet,30,ReLU,SGD,0.01
500,0.0383447767047631,500,100,SimpleNeuralNet,30,ReLU,SGD,0.01
228,0.0713949387670672,328,100,SimpleNeuralNet,10,Tanh,Adam,0.01
164,0.0725111844141102,264,100,SimpleNeuralNet,10,Tanh,Adam,0.01
308,0.0484000594987199,408,100,SimpleNeuralNet,10,Tanh,Adam,0.01
498,0.0739256000927283,500,100,SimpleNeuralNet,10,Tanh,SGD,0.01
500,0.0768509092232083,500,100,SimpleNeuralNet,10,Tanh,SGD,0.01
499,0.05108558475718,500,100,SimpleNeuralNet,10,Tanh,SGD,0.01
430,0.0609201910913172,500,100,SimpleNeuralNet,15,Tanh,Adam,0.01
460,0.0612547172249889,500,100,SimpleNeuralNet,15,Tanh,Adam,0.01
490,0.043602327393938,500,100,SimpleNeuralNet,15,Tanh,Adam,0.01
500,0.0650861690546848,500,100,SimpleNeuralNet,15,Tanh,SGD,0.01
500,0.0699926432562684,500,100,SimpleNeuralNet,15,Tanh,SGD,0.01
499,0.0470610804586583,500,100,SimpleNeuralNet,15,Tanh,SGD,0.01
490,0.0547138593105947,500,100,SimpleNeuralNet,20,Tanh,Adam,0.01
462,0.0576010322049628,500,100,SimpleNeuralNet,20,Tanh,Adam,0.01
296,0.0396722474882079,396,100,SimpleNeuralNet,20,Tanh,Adam,0.01
499,0.0660346596604517,500,100,SimpleNeuralNet,20,Tanh,SGD,0.01
500,0.0676478741508218,500,100,SimpleNeuralNet,20,Tanh,SGD,0.01
500,0.0453706119123787,500,100,SimpleNeuralNet,20,Tanh,SGD,0.01
495,0.0585007099367622,500,100,SimpleNeuralNet,25,Tanh,Adam,0.01
498,0.0535981664467329,500,100,SimpleNeuralNet,25,Tanh,Adam,0.01
490,0.0338945548859629,500,100,SimpleNeuralNet,25,Tanh,Adam,0.01
500,0.0616991681159831,500,100,SimpleNeuralNet,25,Tanh,SGD,0.01
500,0.0622605032540952,500,100,SimpleNeuralNet,25,Tanh,SGD,0.01
498,0.0415363034889323,500,100,SimpleNeuralNet,25,Tanh,SGD,0.01
487,0.0510493216481168,500,100,SimpleNeuralNet,30,Tanh,Adam,0.01
488,0.0527769089905414,500,100,SimpleNeuralNet,30,Tanh,Adam,0.01
447,0.031213038345804,500,100,SimpleNeuralNet,30,Tanh,Adam,0.01
500,0.06071496793092,500,100,SimpleNeuralNet,30,Tanh,SGD,0.01
500,0.0622301335660686,500,100,SimpleNeuralNet,30,Tanh,SGD,0.01
500,0.0432139183414843,500,100,SimpleNeuralNet,30,Tanh,SGD,0.01
492,0.0707143613765204,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.01
498,0.0689529995109655,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.01
486,0.046293900798382,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.01
500,0.0850996631833985,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.01
500,0.0874281962922014,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.01
