Epoch,Train Loss,Test Loss,MAE,MSE,RMSE,R²
1,0.9360027365480534,0.09698046243203984,0.22887458404954353,0.0969804623690927,0.3114168643951416,-23.471913569249455
2,0.7471069670615433,0.4141435107954491,0.39762270067873445,0.4141435093854332,0.6435398459434509,-103.5043910841976
3,0.5593352922913168,0.13029770354985915,0.22165318937359044,0.1302977034491437,0.3609677255153656,-31.87913935637563
4,0.46443410311330685,0.261565474357406,0.3029107985293579,0.2615654740174915,0.5114347338676453,-65.0030640861926
5,0.4059533151003613,0.2659857248025241,0.29317295619282957,0.26598572482770294,0.5157380104064941,-66.11846396302772
6,0.3604620915993769,0.720435222831343,0.43956517002401013,0.7204352231964364,0.8487845063209534,-180.7936116576495
7,0.3345499476802618,0.3097012142336736,0.29739532761896587,0.30970121427931024,0.5565080642700195,-77.14956912960932
8,0.31582291558161685,0.3267542592279612,0.26370470939788915,0.32675425921222445,0.571624219417572,-81.45271052011482
9,0.3034673304695296,0.24902654319837547,0.22049320746858012,0.24902654319208076,0.4990255832672119,-61.839007905037064
10,0.2954736965115513,0.15429226182419278,0.2059954769043072,0.15429226173291943,0.392800509929657,-37.93389246961727
11,0.285282082032302,0.38551442423194715,0.2586192575978029,0.38551442419417886,0.6208980679512024,-96.2801679648991
12,0.27359094326962957,0.5654564628990753,0.33012900286603847,0.565456462939991,0.7519683837890625,-141.68648911547177
13,0.2759556574693232,0.4817531403938122,0.2640347587721113,0.48175314039538586,0.6940844058990479,-120.56491034866032
14,0.2674468329704721,0.4136675463639037,0.2561328233591366,0.4136675464488823,0.6431699395179749,-103.38428726574898
15,0.26092588397212524,0.33384712664010413,0.21643345072756903,0.3338471266778724,0.5777950286865234,-83.24251472744965
16,0.26914735011814744,0.2556605336673301,0.19939185683837296,0.2556605337050984,0.5056288242340088,-63.51301974709163
17,0.2592163419538523,0.2756457181551229,0.2111808302561375,0.27564571817085964,0.5250197649002075,-68.55605310622607
18,0.25297021125322566,0.6267586979668437,0.278198242716256,0.6267586980486749,0.7916809320449829,-157.15540896318356
19,0.25219830891804296,0.3872693022451257,0.22798095805766602,0.38726930220421,0.6223096251487732,-96.72299141548874
20,0.25188688392820974,0.14762459831973834,0.1481967061232433,0.14762459825049648,0.3842194676399231,-36.25138363778996
21,0.24849441439140593,0.4816310397251041,0.2502768529809784,0.48163103975500404,0.6939964294433594,-120.53409964467748
22,0.246429227675743,0.29087464791784656,0.1941956223498832,0.2908746479021098,0.5393279790878296,-72.39889983051741
23,0.24890052167808782,0.36533955331627793,0.22332691442867006,0.36533955320926775,0.6044332385063171,-91.18926937612471
24,0.2457957643067679,0.17758414749570153,0.14979465476549317,0.17758414748940682,0.4214073419570923,-43.81133418492144
25,0.24063316067265422,0.4002028312178541,0.2401916188490732,0.40020283115490696,0.632615864276886,-99.98661993297569
