Epoch,Train Loss,Validation Loss,Test Loss,MAE,MSE,RMSE,R²
1,1.0963746264569674,1.0354438775085673,1.0993605627418792,0.27745748450729874,1.0993605627340193,1.0485039949417114,-0.0993605265890416
2,0.9961851761821466,0.9406478763872679,1.2482142367968847,0.38619920340737146,1.248214236765445,1.1172350645065308,-0.24821419572642878
3,0.9165153938354177,0.8664095062805172,1.4555886134593696,0.47038856904585286,1.4555886134541296,1.2064777612686157,-0.4555885655970209
4,0.8582310931651772,0.8188324817156533,1.6732230816401623,0.5487994179568448,1.6732230816558822,1.2935312986373901,-0.6732230266433477
5,0.8170583470825706,0.7750805807038544,1.8628899130087633,0.6069899363255763,1.8628899128096443,1.3648772239685059,-0.8628898515612091
6,0.7850104244110602,0.7482319795248128,1.9609425579781061,0.6325479293445965,1.9609425581143451,1.4003366231918335,-0.9609424936421169
7,0.7593804184031459,0.7206739743290318,2.082981692480517,0.670124436053601,2.0829816925433966,1.4432538747787476,-1.0829816240587435
8,0.7392651171595401,0.698506189644644,2.1357664825654292,0.6968018513354627,2.1357664825759093,1.4614262580871582,-1.135766412355788
9,0.7216095516554436,0.683005768989233,2.1850262234682565,0.7164063673543406,2.1850262232796176,1.478183388710022,-1.1850261514399256
10,0.7054840534619361,0.666814672654198,2.2710204739259496,0.7389251438287588,2.271020474041229,1.5069905519485474,-1.2710203993742022
11,0.6920503870698079,0.6550883757468966,2.2833195507699973,0.7452775254511571,2.283319550990076,1.5110656023025513,-1.283319475918678
12,0.6807961786888911,0.6386125441388849,2.296154114182179,0.7659976498530461,2.29615411399354,1.5153065919876099,-1.2961540385001649
13,0.6690373641731187,0.6278347993856307,2.4131322126427848,0.7981051103151762,2.413132212475106,1.5534260272979736,-1.4131321331357034
14,0.660111225814741,0.6202946585486776,2.3498232559974377,0.7852513169718313,2.349823255756399,1.532913327217102,-1.3498231784984802
15,0.6513984564759634,0.6077530971891487,2.3782703419386686,0.7964140894753592,2.37827034171859,1.5421642065048218,-1.3782702635253825
16,0.6441769120369462,0.5995287125488532,2.3984407523752567,0.8051892195691119,2.3984407526058154,1.5486900806427002,-1.3984406737494415
17,0.6364582993639446,0.5923895136059559,2.4189263481766314,0.8131888391473792,2.4189263480194323,1.5552897453308105,-1.4189262684895292
18,0.6300465173235521,0.5907450968491389,2.4411191568505632,0.8113305767185085,2.4411191569553625,1.5624080896377563,-1.4411190766958004
19,0.622535086482241,0.5797256529698189,2.466545909347115,0.8293190152094915,2.466545909158476,1.5705240964889526,-1.4665458280629284
20,0.6167528910136654,0.5718795407559181,2.495243921285147,0.8378273060557606,2.4952439211593878,1.5796340703964233,-1.4952438391203016
21,0.6111368658173623,0.5716640642316071,2.4650413321846134,0.8239213120596749,2.4650413323313325,1.570044994354248,-1.4650412512852524
22,0.6067808383286174,0.5607397968655736,2.4201091464168423,0.8185307166759784,2.4201091464797218,1.555669903755188,-1.4201090669109306
23,0.6006710736067965,0.5579892811735607,2.4193482416383514,0.8085775478069599,2.4193482417431507,1.5554254055023193,-1.4193481621993764
24,0.5948937939187131,0.5507362269778295,2.423163839057252,0.828534442105136,2.4231638387638132,1.5566514730453491,-1.4231637590945891
25,0.5904893739272984,0.5416659861760382,2.4590011781126586,0.8264818620367365,2.4590011776305816,1.5681202411651611,-1.459001096783091
26,0.5845299211029483,0.5373167958968283,2.3911600841480296,0.820545724931654,2.3911600843576286,1.546337604522705,-1.3911600057406295
27,0.5804096674509497,0.5324379320099591,2.420218456868942,0.8166357763520964,2.420218456512624,1.555705189704895,-1.4202183769402388
28,0.5746009126928834,0.5381996606735839,2.332577450881129,0.8014146428370214,2.3325774507972894,1.5272778272628784,-1.332577374106381
