Epoch,Train Loss,Validation Loss,Test Loss,MAE,MSE,RMSE,R²
1,1.0836770546490946,1.0119211778373278,1.0636425246504637,0.3214841279564323,1.0636425245351844,1.0313304662704468,-0.06364248956455087
2,0.9789168099199862,0.9291064839498625,1.2156331510764884,0.39784945658799054,1.2156331511446081,1.1025575399398804,-0.21563311117679884
3,0.9133814172823379,0.872042519508734,1.4193191533448932,0.4754959412773887,1.4193191533291734,1.1913517713546753,-0.41931910666453853
4,0.8652671270959794,0.8262765216936634,1.6372402621799118,0.5556170178822109,1.637240262148472,1.2795469760894775,-0.637240208318987
5,0.8296416406448331,0.7920061705772683,1.966572704238551,0.6380032465903314,1.96657270440623,1.4023454189300537,-0.9665726397488927
6,0.801163358834354,0.7661087738023591,2.2002288566336525,0.710923437485328,2.200228856434534,1.4833168983459473,-1.2002287840950068
7,0.779498828203964,0.7433063029944214,2.447514093735716,0.748068698662978,2.447514093913875,1.5644532442092896,-1.4475140134440587
8,0.7602126530601868,0.7264257296697927,2.7593283457245144,0.7918178734831758,2.759328345776914,1.6611225605010986,-1.759328255055212
9,0.7424737345252911,0.7077877685342321,3.067786009586447,0.8573039421668419,3.0677860094606877,1.751509666442871,-2.067785908597458
10,0.7289376928731767,0.6942908909107811,3.20957136795547,0.8801089108435662,3.2095713674733926,1.7915276288986206,-2.209571261948518
11,0.7177284986719047,0.6799427589361065,3.4042536464182884,0.9181645701481745,3.4042536464811683,1.8450618982315063,-2.404253534555494
12,0.7070456076460908,0.6676006777453122,3.481996787438026,0.9218578750694191,3.481996787417066,1.8660109043121338,-2.4819966729353387
13,0.6965283286155325,0.6613197632944734,3.94720004931518,0.966700688791799,3.94720004933614,1.9867562055587769,-2.9471999195593743
14,0.6876254476782615,0.6493296631696162,3.999849984446725,0.9774435109777765,3.999849984404805,1.999962568283081,-2.9998498528970052
15,0.680391071091072,0.639759656230472,4.251435669243991,1.0184185090746198,4.251435669086792,2.061901092529297,-3.2514355293073116
16,0.6721224325858385,0.633147965054127,4.277625113522613,1.0075461442758749,4.277625113690292,2.068242073059082,-3.2776249730497513
17,0.66629579362918,0.623970526799918,4.359093485864964,1.030244776390411,4.359093485623926,2.087844133377075,-3.3590933423048526
18,0.6599978876180925,0.6176661525617214,4.407920732939636,1.0359555131157676,4.407920732834837,2.0995049476623535,-3.4079205879104126
19,0.6539295189154414,0.6107446342655474,4.667385120177334,1.0549874884479649,4.667385120177334,2.1604132652282715,-3.6673849667221923
20,0.647613926284433,0.6035455759994489,4.894661526924962,1.0884003186697488,4.894661526736322,2.212388038635254,-3.8946613658087452
21,0.6426817557674034,0.6033000038883394,5.088994966354999,1.0956540825393173,5.0889949663969185,2.255880117416382,-4.088994799080011
22,0.6373599268101992,0.5920630009108803,5.170227623957854,1.1124400366269624,5.170227624188413,2.273813486099243,-4.170227454200723
23,0.6321058906118254,0.5859368755713634,5.23661700461985,1.1306012452513308,5.2366170043892915,2.288365602493286,-4.236616832218839
24,0.626156417288143,0.5806717127151916,5.382691589491708,1.134861423408592,5.3826915897327465,2.3200628757476807,-4.382691412759628
25,0.621524624973191,0.5792277655565315,5.39269534435377,1.1345098814911894,5.39269534449001,2.3222177028656006,-4.392695167187985
