Epoch,Train Loss,Validation Loss,Test Loss,MAE,MSE,RMSE,R²
1,1.1028846172708382,1.0424839021951677,1.1755865409741035,0.4231331468204876,1.1755865409793436,1.084244728088379,-0.17558650232819395
2,0.9860368707103726,0.9191973434759033,1.5483009016959222,0.5869474076491136,1.5483009017011622,1.2443073987960815,-0.5483008507958418
3,0.888345709320567,0.8176962556332384,1.6112193960907695,0.6159721700647375,1.61121939603575,1.2693381309509277,-0.6112193430617838
4,0.8004763518415252,0.7272768362622627,1.5317114541668158,0.5669018220167894,1.5317114542873351,1.2376233339309692,-0.5317114039274458
5,0.7339235529606963,0.6748544979068148,1.776649726877992,0.6425162602780939,1.7766497269827914,1.332910180091858,-0.7766496685697766
6,0.6834672310964569,0.6349645109930399,2.0638544682476794,0.6963437728305439,2.063854468310559,1.4366121292114258,-1.0638544004547739
7,0.6470781090856722,0.5901929045768128,1.7941104748579828,0.6239386974691035,1.7941104749418222,1.3394440412521362,-0.7941104159547296
8,0.6183800645994368,0.5586636494917695,1.9172020400133762,0.6430523635214501,1.9172020399766965,1.3846306800842285,-0.917201976942577
9,0.5973773232656623,0.5476260519707052,2.025329926636193,0.6071215574557964,2.0253299266519127,1.4231407642364502,-1.0253298600627447
10,0.5780614064767579,0.5503179618446551,2.2510492662212678,0.6690504571998512,2.2510492661479082,1.5003496408462524,-1.2510491921374984
11,0.5650636627557424,0.5148354597893231,1.999164732093012,0.5871514522112333,1.999164732093012,1.4139182567596436,-0.9991646663641081
12,0.5531781195993521,0.5060054457269584,2.3853489444018394,0.6833845579964773,2.3853489443808793,1.5444575548171997,-1.3853488659549402
13,0.5426790576514838,0.5012547140132384,2.3342989884733716,0.663331365597117,2.3342989886515304,1.527841329574585,-1.3342989119040212
14,0.528131885021064,0.47446945381328415,2.2308995940591934,0.6540218701624608,2.2308995940539535,1.493619680404663,-1.2308995207060285
15,0.5200766817389729,0.47137181774584014,2.030897106745004,0.5869886009981344,2.030897106745004,1.425095558166504,-1.0308970399727975
16,0.520952250202691,0.4626967248364959,2.2820031741469036,0.6473888630185809,2.2820031741521434,1.5106301307678223,-1.2820030991240254
17,0.5058471303441303,0.4532146588360458,1.926996801052222,0.5734014523756373,1.9269968010889018,1.3881630897521973,-0.9269967377327484
18,0.5027370916119062,0.44514877816997167,2.0817037668490146,0.6307722408168919,2.081703766822815,1.4428110122680664,-1.0817036983801778
19,0.49675283755530925,0.508954818343652,1.6392445687605786,0.5393698018671392,1.6392445688077382,1.2803298234939575,-0.6392445149123553
20,0.4964010021187663,0.44162060773727685,2.0467544126956017,0.6622632305438702,2.046754412863281,1.4306482076644897,-1.0467543455697146
21,0.4939407818681425,0.46033965891988826,2.300086719962267,0.6737827827642252,2.300086719888907,1.516603708267212,-1.3000866442662353
22,0.4932661260050334,0.43410768687110585,2.0699503390382934,0.6321340388832511,2.069950339279332,1.4387322664260864,-1.0699502712231261
23,0.478832200670212,0.42021990841401813,1.909156095275635,0.59265795982015,1.9091560952808748,1.381722092628479,-0.9091560325112915
24,0.484469746294373,0.415038347978226,1.8465826204176379,0.5729846978056562,1.8465826204595575,1.358890175819397,-0.8465825597472763
25,0.4775790143499184,0.42951344264946445,1.982071408056828,0.6038937736186353,1.982071407889149,1.4078606367111206,-0.9820713427222425
26,0.4711571281933188,0.4236417025259407,1.9527937976004004,0.6324793949546395,1.9527937977995191,1.3974239826202393,-0.9527937335952072
27,0.4696330481061842,0.4183473742260829,1.847157261034617,0.5752282170830192,1.847157260866938,1.35910165309906,-0.8471572001357637
28,0.46575494943276446,0.4015955296971271,1.7827176779380867,0.5614553213433905,1.782717677906647,1.3351844549179077,-0.7827176192941288
29,0.4701578728264077,0.4064107610187989,1.7744572514213088,0.5636255040247362,1.7744572515418282,1.332087516784668,-0.7744571932008981
30,0.4599390165466253,0.4053938873171943,1.5799201836933556,0.49929413521420823,1.5799201836461958,1.256948709487915,-0.579920131701291
31,0.4623703832713077,0.4061792870533289,1.6064658054650485,0.5370408100505452,1.6064658053497691,1.267464280128479,-0.6064657525320925
32,0.4579380987258546,0.41699682007813643,1.5055640421476992,0.507995803979727,1.5055640421057794,1.2270143032073975,-0.5055639926055695
33,0.4578884662942283,0.39475483745165846,1.684358452652366,0.5408369087806115,1.684358452657606,1.2978283166885376,-0.6843583972789606
34,0.45097913847375404,0.4069650172094845,1.4805477490566752,0.48521080740729533,1.4805477490514354,1.2167775630950928,-0.4805477003737155
35,0.454147114974138,0.43388863155044366,1.507771666690871,0.47024219225789166,1.5077716666515713,1.227913498878479,-0.5077716170787785
36,0.45170275890724526,0.4590953416337194,1.361070515700749,0.44238850838797433,1.3610705156666891,1.1666492223739624,-0.3610704709171637
37,0.4459087073407216,0.3841004595245829,1.62982652143127,0.5158841363492903,1.6298265214889096,1.276646614074707,-0.6298264679031749
38,0.4458378500237157,0.3892407100873851,1.694390913026346,0.5241645398401952,1.6943909130682657,1.3016877174377441,-0.6943908573597712
39,0.44172428313931983,0.40070011713728737,1.8051632744002022,0.5832756166720129,1.8051632744892818,1.3435636758804321,-0.8051632151387933
40,0.43556400039561155,0.38152137994424856,1.5158506503812559,0.49455209444905374,1.5158506504703355,1.2311989068984985,-0.5158506006319203
41,0.4372356422257259,0.404089553824883,1.6097236001310604,0.5070666452764154,1.6097236001415403,1.2687488794326782,-0.6097235472167533
42,0.4407749996936992,0.3756910573422294,1.605469736618,0.5120361939210158,1.6054697366127602,1.26707124710083,-0.6054696838278324
43,0.43855249303092847,0.3959274581446817,1.7982291341086256,0.5507614064059415,1.798229134035266,1.3409806489944458,-0.7982290749127596
44,0.4346793720339665,0.3750543574560412,1.5013988233439541,0.47398333879617544,1.5013988234487536,1.225315809249878,-0.5013987740854884
45,0.43375068323609367,0.380984461804231,1.5460385863577926,0.4977277652824318,1.546038586305393,1.2433980703353882,-0.5460385354744535
