Epoch,Train Loss,Test Loss,MAE,MSE,RMSE,R²
1,0.2815313862804347,0.6706005888375848,0.42433952032569244,0.6706005890893734,0.8189020752906799,-168.21841012910036
2,0.2763934832674885,0.5546358525044865,0.3736628035404247,0.5546358528318117,0.7447388172149658,-138.95603156902166
3,0.2676981139396207,0.6956825021384494,0.42128571831905576,0.6956825019621974,0.8340758681297302,-174.5475447710776
4,0.2627538731711457,0.5556945169987982,0.3671023610250312,0.5556945173638916,0.7454492449760437,-139.22317348910542
5,0.25967944332786447,1.3593424986238327,0.5839658477012655,1.3593424984727596,1.1659084558486938,-342.0145755237669
6,0.2629378837697955,1.285379191307922,0.5743080413663182,1.2853791910813122,1.1337456703186035,-323.35077849121967
7,0.2550516391055092,1.29669853532259,0.5808163935798364,1.2966985353351792,1.1387267112731934,-326.2070859110273
8,0.2587737394597961,1.1720872575633345,0.5676412289945059,1.172087257380788,1.0826297998428345,-294.7628511717893
9,0.26004052046467135,0.9501338085609732,0.5047418232552793,0.9501338087120462,0.9747480750083923,-238.7554298878367
10,0.25661456892221207,0.5630431099522264,0.359450194044795,0.5630431100970048,0.750361979007721,-141.07750705101338
11,0.2564926982984711,1.0048319471857972,0.49755643513449044,1.0048319472172706,1.002413034439087,-252.55788128061624
12,0.25133040713690585,1.292842284510165,0.5656564633513167,1.2928422843716814,1.137032151222229,-325.2340049628163
13,0.25249380795592125,0.9836880401180511,0.4941246005219534,0.9836880402250613,0.9918105006217957,-247.2224575077296
14,0.24826580113084115,0.40082627593249803,0.3185697645908903,0.40082627581919317,0.6331084370613098,-100.1439390833171
15,0.25060225619345716,0.811369869494811,0.42525535982272505,0.811369869538874,0.9007607698440552,-203.7399325080604
16,0.24784268513872845,0.8863977134496852,0.4514885444250337,0.8863977134056221,0.9414870142936707,-222.67235317859075
17,0.24391359283199845,0.5537551971897365,0.369909520486124,0.5537551973156307,0.7441473007202148,-138.73380819382015
18,0.2483963144853409,0.7926031168189315,0.40173627710453197,0.7926031169700046,0.8902826309204102,-199.0043565412951
19,0.24223398663399046,1.0750415741021127,0.49092417247557996,1.0750415740643444,1.0368421077728271,-270.2744798403527
20,0.24120541524967368,1.1402219959343356,0.493742059472874,1.140221995965809,1.0678117275238037,-286.7220158926061
21,0.2400742416652097,0.49777304345126855,0.31393937636094027,0.49777304355827867,0.7055303454399109,-124.60735019698797
