Epoch,Train Loss,Validation Loss,Test Loss,MAE,MSE,RMSE,R²
1,1.1073027401125526,1.0446715454362923,1.0703427717099478,0.3074083370166821,1.0703427716470681,1.0345737934112549,-0.07034273645614264
2,1.0124022533861907,0.963806563058499,1.1431854929085616,0.36713442455543266,1.143185492856162,1.069198489189148,-0.14318545527030002
3,0.9434603179696897,0.8994140308320454,1.25096815266452,0.4336210513691326,1.2509681528636387,1.118466854095459,-0.25096811173407896
4,0.8897224132272751,0.8503868167778266,1.3862608510013466,0.48722273010211986,1.386260851064226,1.1773958206176758,-0.3862608054864882
5,0.8474879901550695,0.8105261208495939,1.5579748182106805,0.556275451356238,1.557974818441239,1.2481886148452759,-0.5579747672178579
6,0.8135091096638764,0.7764142718076501,1.820538355570573,0.6261258676969088,1.8205383560526502,1.3492733240127563,-0.820538296196657
7,0.7859385055403343,0.7531847376969535,2.1557544101856565,0.6962773223290076,2.155754410646774,1.468248724937439,-1.1557543397694858
8,0.7638691708535693,0.7313850154342794,2.3108893315176386,0.7400845337542858,2.3108893312242005,1.5201609134674072,-1.3108892552463582
9,0.7438128752634265,0.7075061716181988,2.584057355584679,0.7848670330886003,2.584057354955883,1.6075003147125244,-1.584057269996772
10,0.7276339631925921,0.6918172736962637,2.8059322665562996,0.8305833930130844,2.8059322665982194,1.6750917434692383,-1.8059321743442651
11,0.7104101171698267,0.6740992056801147,3.18813069831408,0.8867229508200845,3.1881306988171167,1.7855337858200073,-2.1881305939971725
12,0.6969946407356129,0.6582790712191203,3.251876673722005,0.8918032248570369,3.2518766738896843,1.8032960891723633,-2.251876566973888
13,0.6848957765727314,0.6436309563847342,3.423842770559447,0.9236884299477378,3.4238427722362372,1.8503628969192505,-2.423842659666508
14,0.6748322079378858,0.6344910508919964,3.5452358216073487,0.9205580485207694,3.5452358226972622,1.8828797340393066,-2.54523570613635
15,0.6631111046622569,0.6284939182711017,3.644156172325323,0.9360633033815321,3.644156171486928,1.90896737575531,-2.6441560516736944
16,0.6550181067532523,0.6124050549121588,3.776887476005397,0.9606007742724576,3.7768874744124465,1.9434216022491455,-2.776887350235249
17,0.6457974214456077,0.6040556994022509,3.872173374580813,0.9691634691888159,3.872173375251529,1.9677839279174805,-2.8721732479415043
18,0.6374301246581777,0.5959045647892073,3.901965155015935,0.9766743109986022,3.9019651556028117,1.9753391742706299,-2.9019650273132873
