speed_vx,speed_vy,speed_vz,battery_percent,angle_phi,angle_psi,angle_theta,gps_amsl_altitude,landcover,distance_to_base,wifi_signal_mW
0.0,0.0,0.0,35.06,0.038596824,-1.231232524,0.039109666,382.8940125,211,0.0,1.58e-07
-0.11971093,-7.473209381,-4.056445122,34.16,-0.474484295,-1.222260475,0.002726639,404.1387329,211,22.55826831,3.85e-06
-0.990741551,-10.9355135,-2.380181789,33.94,-0.488941371,-1.055046558,-0.245673627,411.574585,211,39.6658621,1.91e-06
-1.116711259,-11.84080029,-1.885623693,33.76,-0.386519015,-0.789408624,-0.171189204,417.5999146,211,65.3418786,4.06e-07
-0.293335348,-1.039155483,-0.266842097,33.46,0.330715388,-0.726457357,-0.097733006,418.6994934,211,82.19247129,3.16e-07
6.6701684,-5.899398804,-0.03739832,32.41,-0.183126539,-0.707821488,-0.459084839,418.8192139,211,87.57518922,1.92e-07
11.74568462,-6.050162315,0.093173221,32.23,-0.227353901,-0.713104725,-0.468134046,418.8519897,211,96.94640086,1.81e-07
14.20920753,-6.204174995,0.090221189,32.08,-0.269440681,-0.718187332,-0.453247994,418.8912354,211,112.0896066,2.23e-07
14.99030781,-6.174147129,0.037290502,31.9,-0.255696416,-0.715261638,-0.461472124,418.8718567,211,133.2294508,1.51e-07
15.39883232,-6.211984634,-0.694942176,31.72,-0.227173164,-0.71495235,-0.453585982,418.9894104,211,158.493021,2.47e-07
16.26152039,-6.968520641,-2.605516672,31.51,-0.283923626,-0.70540005,-0.437407851,423.3413086,211,188.93402,2.96e-07
9.746482849,-11.2298193,-2.259269476,31.24,0.059978493,-0.250088364,0.42176041,428.8381348,211,220.8345496,2.11e-07
-4.455952644,-0.561157525,-0.514032066,31.09,0.053303156,1.643272042,-0.387495905,429.4467773,211,238.9558335,3.42e-07
2.050727129,10.12981224,-0.161702543,30.67,0.4577986,0.497641146,0.002604263,429.6369629,211,224.6429266,3.76e-07
2.100063801,13.92422962,-0.046778526,30.49,0.489658862,0.498245358,0.023111353,429.6849365,211,198.5901739,2.72e-07
2.201379061,14.88116932,-0.053676575,30.31,0.50514251,0.499528944,0.044459295,429.7157593,211,171.4752118,5.06e-07
2.59316802,14.86299515,0.105502769,30.1,0.460708916,0.494335592,-0.014566283,429.754364,211,141.9933316,3.5e-07
3.144673109,14.80056572,-0.147315755,29.92,0.48078692,0.503127456,-0.030963058,429.6707153,211,116.7340507,5.92e-07
2.962924242,15.25093651,-0.041866619,29.74,0.496859312,0.496341228,0.009616639,429.668335,211,93.86223628,7.05e-07
2.197137117,13.85302925,0.221360296,29.65,-0.360852152,0.501078486,0.202119932,429.6617737,211,76.95994019,4.97e-07
0.027080284,0.103791058,-0.054517969,29.34,-0.019739104,0.398347408,0.079473235,429.6365662,211,71.73812653,3.11e-07
8.640330315,0.042128813,3.00299859,28.98,-0.030274665,0.328482568,-0.090760656,417.1169128,211,53.00129605,4.92e-07
1.791114807,0.110167861,2.781842232,28.92,-0.020300902,0.344862431,0.498305827,411.0898132,211,40.23449948,1.17e-06
6.93051672,-0.228487834,2.888180733,28.68,0.036940202,0.37293601,-0.059008226,399.1802368,211,24.50517409,2.04e-06
-0.123357169,4.183680058,-0.193930343,28.41,0.208801612,0.205394179,-0.039447859,395.5037537,211,16.81562993,1.83e-06
-0.26633805,5.942542553,-0.073477037,28.26,0.122553654,-1.036059618,-0.167653248,395.5355225,211,14.10060866,2.97e-06
-0.268346727,6.104241848,-0.039085492,28.14,0.120780297,-2.235592365,-0.330295146,395.551178,211,16.28981973,4.26e-06
0.133609071,6.284426689,-0.053782158,28.02,0.184917808,2.945168734,-0.214657187,395.5552368,211,18.76239235,4.23e-06
-0.311338663,6.268977165,0.063728064,27.9,0.265138,1.619704962,-0.384906799,395.5869751,211,19.06729755,2.45e-06
-0.816704452,6.626339436,0.043468829,27.78,0.121582173,0.306821406,-0.44575575,395.5532837,211,16.28560159,2.86e-06
-0.808852673,6.361144543,-0.187797844,27.6,0.145485088,-1.694217205,-0.487480104,395.5037842,211,13.64802078,3.54e-06
-0.532684743,3.295899391,0.050319608,27.48,-0.426322341,-2.744986773,-0.138006166,395.5314026,211,16.17755397,5.25e-06
0.025802195,-2.008054256,0.001494797,25.62,-0.15302369,-2.78656888,-0.056516588,385.3438721,211,9.732034824,3.83e-06
-0.129554138,-2.301991701,0.039405741,25.08,-0.1351621,-0.67449677,-0.062162045,385.3516541,211,7.509988901,6.95e-06
5.658108234,-0.053371191,0.048717584,23.39,-0.046290055,-0.248637632,0.085285991,385.3755493,211,4.247164548,1.15e-06
4.728441238,-2.59490943,-2.957813978,23.09,-0.486669838,-0.967933595,0.067320168,396.420166,211,16.59175632,3.27e-06
9.891429901,-3.662558317,-3.986136675,22.82,-0.114534207,-1.396826982,-0.438885003,405.8492126,211,35.43513306,1.75e-06
11.79561615,-1.140797615,-3.934440136,22.61,0.056510411,-1.235271335,-0.382511467,413.6500854,211,58.58500261,9.07e-07
13.11536503,1.713606119,-3.941540241,22.4,0.080556192,-1.232053638,-0.375859767,421.6298828,211,83.47960114,7.99e-07
13.78208351,3.515228748,-3.902650118,22.16,0.125964165,-1.237177253,-0.362339437,429.630249,211,110.18838,5.6e-07
13.86607933,5.196342945,-3.976918221,21.95,0.184648558,-1.236317873,-0.365615994,437.5465393,211,138.1270115,4.92e-07
14.32297039,6.044723034,-4.050159931,21.71,0.160535634,-1.23470664,-0.36519447,445.5140686,211,167.3561107,3.48e-07
13.84578323,6.039895535,-3.44124651,21.5,0.026135979,-1.221933007,0.069656014,453.3617554,211,197.6097566,2.34e-07
-2.123209476,0.487795681,-0.219936818,21.38,-0.173376471,3.078368664,-0.319203228,455.6173096,211,214.7321071,3.83e-07
9.52564621,-0.057323378,-0.14591676,21.08,0.072812796,2.118887901,-0.510147274,455.6893921,211,203.7098895,5.13e-07
13.59917068,-0.113605231,0.050590407,20.93,0.073189981,2.119447708,-0.499485731,455.7733154,211,181.7558073,5.28e-07
15.35876846,0.02676156,0.083905481,20.75,0.063259237,2.115655661,-0.49945879,455.7900391,211,155.3411347,8.79e-07
15.62647247,0.324526906,0.001650901,20.6,0.080735594,1.990575075,-0.467966408,455.7071838,211,125.8736469,1.38e-06
16.22212219,0.428826809,-0.009155463,20.44,0.091581047,1.97873497,-0.475481123,455.7436523,211,99.28251757,1.94e-06
16.49077988,0.32075426,-0.051380184,20.29,0.066990264,1.984987617,-0.471445024,455.7176208,211,79.31409806,2.28e-06
